Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
mindray.com,"75479","Mindray Medical International","Mindray Building Keji 12th Road South","Shenzhen","","","China","8675526582888","d.steensma@mindray.com","","1K - 10K","> $1B","Yes","","Medical Devices","Datanyze"
auntminnie.com,"120235","AuntMinnie.com","1350 N Kolb Rd","Tucson","AZ","85715","United States","1(520)298-1000","","AuntMinnie","25 - 100","$1 - 10M","No","","Internet","Datanyze"
arris.com,"182479","Arris Systems, Inc.","650 East Swedesford Road","Wayne","PA","19087","United States","1(610)407-9800","","","1K - 10K","","Yes","","Telecommunications","Datanyze"
imaios.com,"184966","IMAIOS","CAP OMEGA - CS 39521 Rond Point Benjamin Franklin","Montpellier","","34960","France","","","IMAIOS","25 - 100","$1 - 10M","No","","E-Learning","Datanyze"
eizo.com,"192235","Eizo Technologies Inc.","153, Shimokashiwano-machi","Hakusan-shi","IKW","924-8566","Japan","","THOMAS.WALETZKI@EIZO.COM","EIZO_Global","50K - 100K","$500M - 1B","No","","Information Technology and Services","Datanyze"
nema.org,"226530","National Electrical Manufacturers Association","1300 North 17th Street Suite 900","Rosslyn","VA","22209","United States","1(703)841-3200","Jam_betthauser@nema.org","nemaupdates","100 - 250","$10 - 50M","Yes","","Electrical/Electronic Manufacturing","Datanyze"
iconplc.com,"227365","ICON plc","South County Business Park Leopardstown","Dublin","","","Ireland","35312912000","ann.nightingale@iconplc.com","ICONplc","50K - 100K","> $1B","Yes","","Pharmaceuticals","Datanyze"
leadtools.com,"236000","Lead Technologies","1927 S Tryon St Suite 200","Charlotte","NC","28203","United States","1(704)332-5532","sales@leadtools.com","LEADTOOLS","100 - 250","$10 - 50M","Yes","","Computer Software","Datanyze"
asrt.org,"250933","The American Society of Radiologic Technologists ASRT","15000 Central Ave. SE","Albuquerque","NM","87123","United States","1(505)298-4500","msandoval@asrt.org","","100 - 250","$10 - 50M","Yes","","Hospital & Health Care","Datanyze"
arrt.org,"255032","American Registry of Radiologic Technologists","1255 Northland Drive","Saint Paul","MN","55120","United States","1(651)687-0048","","","100 - 250","$10 - 50M","Yes","","Medical Practice","Datanyze"
hologic.com,"329873","Hologic","35 Crosby Drive","Bedford","MA","01730","United States","1(781)999-7300","holly.beauchesne@hologic.com","hologic","1K - 10K","> $1B","Yes","Yes","Medical Devices","Datanyze"
epiphan.com,"377492","Epiphan Systems","400 March Rd","Ottawa","ON","K2K 3H4","Canada","1(613)599-6581","","epiphansystems","100 - 250","$10 - 50M","No","","Computer Hardware","Datanyze"
image-systems.biz,"378616","IMAGE INFORMATION SYSTEMS, INC.","10945 State Bridge Road Suite 401-434","ALPHARETTA","GA","30022","United States","","","","25 - 100","$1 - 10M","No","","Information Technology and Services","Datanyze"
healthimaginghub.com,"397658","Health Imaging Hub","2001 East Oak Shores Drive","Aubrey","TX","76227","United States","1(580)740-5644","info@healthimaginghub.com","healthimghub","100 - 250","$10 - 50M","No","","Hospital & Health Care","Datanyze"
carestream.com,"402573","Carestream","2 Ha'pnina St. 4th floor","Ra'anana","","43107","Israel","","sindy.woodhams@carestream.com","carestream","1K - 10K","> $1B","No","Yes","Hospital & Health Care","Datanyze"
blockimaging.com,"504148","Block Imaging International","1845 Cedar Street","Holt","MI","48842","United States","1(517)668-8800","josh.block@blockimaging.com","BlockImaging","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
m2m-ndt.com,"504190","M2M ndt","Miniparc du Verger","Les Ulis","","","France","","","M2M_ndt","25 - 100","$1 - 10M","","","Electrical/Electronic Manufacturing","Datanyze"
exxactcorp.com,"544826","Exxact Corp","45445 Warm Springs Boulevard","Fremont","CA","94539","United States","1(510)226-7366","mike@exxactcorp.com","Exxactcorp","25 - 100","$1 - 10M","No","","Computer Hardware","Datanyze"
amsmed.com,"578231","American Medical Systems","27517 SchoolCraft Rd","Livonia","MI","48150","United States","1(734)261-7575","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
aware.com,"601883","Aware, Inc.","40 Middlesex Turnpike","Bedford","MA","01730","United States","1(781)276-4000","dmartin@aware.com","AwareBiometrics","100 - 250","$10 - 50M","Yes","","Computer Software","Datanyze"
mycdi.com,"656222","Center for Diagnostic Imaging (CDI)","26250 Enterprise Court Suite 100","Lake Forest","CA","92630","United States","1(952)543-6500","sholman@cdirad.com","","1K - 10K","$500M - 1B","","","Hospital & Health Care","Datanyze"
auvix.ru,"675431","AUVIX","Zvezdny blvd 21","Moscow","","129085","Russia","","","ru_auvix","100 - 250","$10 - 50M","No","","Information Technology and Services","Datanyze"
camrt.ca,"676755","Canadian Association of Medical Radiation Technologists","1000-85 Albert Street","Ottawa","ON","K1P 6A4","Canada","","","camrt_actrm ","25 - 100","$1 - 10M","","","Nonprofit Organization Management","Datanyze"
pixmeo.com,"685381","Pixmeo","266 rue de Bernex","Bernex","","1233","Switzerland","","","j0ris","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
ctisus.com,"687986","ctisus","","Baltimore","MD","21287","United States","","","ctisus","0 - 25","$1 - 10M","","","Education Management","Datanyze"
