Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
mindray.com,"75479","Mindray Medical International","Mindray Building Keji 12th Road South","Shenzhen","","","China","8675526582888","d.steensma@mindray.com","","1K - 10K","> $1B","Yes","","Medical Devices","Datanyze"
hologic.com,"329873","Hologic","35 Crosby Drive","Bedford","MA","01730","United States","1(781)999-7300","holly.beauchesne@hologic.com","hologic","1K - 10K","> $1B","Yes","Yes","Medical Devices","Datanyze"
americanscreeningcorp.com,"421485","American Screening","7607 FERN AVE #703-704","SHREVEPORT","LA","71105","United States","1(318)797-9933","ACCOUNTING@AMERICANSCREENINGCORP.COM","ASC_Drug_Test","25 - 100","$1 - 10M","Yes","","Medical Devices","Datanyze"
blockimaging.com,"504148","Block Imaging International","1845 Cedar Street","Holt","MI","48842","United States","1(517)668-8800","josh.block@blockimaging.com","BlockImaging","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
amsmed.com,"578231","American Medical Systems","27517 SchoolCraft Rd","Livonia","MI","48150","United States","1(734)261-7575","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
pixmeo.com,"685381","Pixmeo","266 rue de Bernex","Bernex","","1233","Switzerland","","","j0ris","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
analogic.com,"797658","Analogic Corporation","8 Centennial Drive","Peabody","MA","01960","United States","1(978)326-4000","hkight@analogic.com","","1K - 10K","$500M - 1B","Yes","","Medical Devices","Datanyze"
terarecon.com,"809169","TeraRecon, Inc.","4000 East Third Ave Suite 2000","Foster City","CA","94404","United States","1(650)372-1100","greg@terarecon.com","","250 - 1000","$50 - 100M","No","","Medical Devices","Datanyze"
radiometer.com,"811832","Radiometer Medical ApS","Ã…kandevej 21","BrÃ¸nshÃ¸j","","2700","Denmark","4538273827","","RadiometerMed","1K - 10K","$500M - 1B","No","","Medical Devices","Datanyze"
pentaxmedical.com,"1108202","Pentax Medical - A Division of Pentax","3 PARAGON DR","MONTVALE","NJ","07645","United States","1(201)571-2300","Jill.Hall@PentaxMedical.com","","250 - 1000","$50 - 100M","No","","Medical Devices","Datanyze"
neurologica.com,"1678537","NeuroLogica","14 Electronics Avenue","Danvers","MA","01923","United States","1(978)564-8500","info@neurologica.com","NeuroLogicaJobs","100 - 250","$10 - 50M","No","Yes","Medical Devices","Datanyze"
mach7t.com,"1719460","Mach7 Technologies","480 Hercules Drive","Colchester","VT","05446","United States","1(888)876-2247","info@mach7t.com","Mach7Tech","100 - 250","$1 - 10M","No","","Medical Devices","Datanyze"
clearcanvas.ca,"2179486","ClearCanvas Inc.","1920-439 University Ave.","Toronto","ON","M5G 1Y8","Canada","1(647)547-8006","GVHLDPRXP@WHOISPRIVACYPROTECT.COM","ClearCanvasInc","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
ampronix.com,"2185267","Ampronix","15 Whatney","Irvine","CA","92618","United States","1(800)400-7972","jchao@ampronix.com","ampronixinc","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
perimetermed.com,"2334988","Perimeter Medical Imaging","555 Richmond Street West","Toronto","ON","M5V 3B1","Canada","","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
lbnmedical.com,"2815436","LBN Medical A/S","Gugvej 70","Aalborg SÃ˜","","9210","Denmark","","","LBNMedical","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
cfimedical.com,"3076158","CFI Medical Solutions","14241 N. Fenton Rd.","Fenton","MI","48430","United States","1(810)750-5300","john.lochner@cfimedical.com","Cfi_Medical","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
realviewimaging.com,"3440895","RealView Imaging","","","","","United States","","","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
candelis.com,"3534645","Candelis, Inc.","5010 Campus Drive","Newport Beach","CA","92660","United States","1(949)852-1000","daniel.cossack@candelis.com","","100 - 250","$1 - 10M","No","","Medical Devices","Datanyze"
icrco.com,"3665103","iCRco","2580 West 237th Street","Torrance","CA","90505","United States","1(310)921-9559","gwachtler@icrcompany.com","iCRco","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
delmedical.com,"3946432","Del Medical Imaging Corp.","50B N. GARY AVENUE ","ROSELLE","IL","60172","United States","1(847)288-7000","","umgdel","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
christieinnomed.com,"3961920","Christie InnoMed Inc.","516 rue Dufour","Saint-Eustache","QC","J7R 0C3","Canada","","","","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
caliberid.com,"4256271","Caliber Imaging & Diagnostics, Inc. (formerly Lucid, Inc.)","50 Methodist Hill Dr. Suite 1000","Rochester","NY","14623","United States","1(585)239-9800","info@caliberid.com","CaliberID","25 - 100","$1 - 10M","Yes","","Medical Devices","Datanyze"
suni.com,"4552815","Suni Medical Imaging Inc.","6840 Via Del Oro Suite 160","San Jose","CA","95119","United States","1(408)227-6698","michael@sureis.com","SuniImaging","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
alpha-imaging.com,"5364435","Alpha Imaging","4455 Glenbrook Road","Willoughby","OH","44094","United States","1(440)953-3800","mperrico@alpha-imaging.com","","100 - 250","$50 - 100M","No","","Medical Devices","Datanyze"
