Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
varian.com,"196974","Varian Medical Systems","3100 Hansen Way","Palo Alto","CA","94304","United States","1(650)493-4000","Yvonne.Namekata@varian.com","VarianMedSys","1K - 10K","> $1B","Yes","Yes","Medical Devices","Datanyze"
abdulwahed.com,"197405","Abdulwahed Health Care","Saudi Arabia - Riyadh - 11411 P.O.BOX: 353 - Dabab st - 3rd Floor","Riyadh","","","Saudi Arabia","966920011766","","AbdulwahedCo","100 - 250","$10 - 50M","Yes","","Medical Devices","Datanyze"
allengers.com,"418314","Allengers Medical Systems Ltd.","212-214, Sector 34 A","Chandigarh","Chandigarh","160022","India","","MARKETING@ALLENGERS.NET","","1K - 10K","$100 - 250M","No","","Medical Devices","Datanyze"
blockimaging.com,"504148","Block Imaging International","1845 Cedar Street","Holt","MI","48842","United States","1(517)668-8800","josh.block@blockimaging.com","BlockImaging","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
amsmed.com,"578231","American Medical Systems","27517 SchoolCraft Rd","Livonia","MI","48150","United States","1(734)261-7575","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
merryxray.com,"2100873","Merry X-Ray Corp","4100 WILL ROGERS PKWY STE 100","OKLAHOMA CITY","OK","73108","United States","1(858)565-4472","ester.bagnasco@merryxray.com","","250 - 1000","$50 - 100M","No","","Medical Devices","Datanyze"
imagediagnostics.com,"2450001","Image Diagnostics","310 AUTHORITY DRIVE ","FITCHBURG","MA","01420","United States","1(978)829-0009","remo.rossi@imagediagnostics.com","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
lbnmedical.com,"2815436","LBN Medical A/S","Gugvej 70","Aalborg SÃ˜","","9210","Denmark","","","LBNMedical","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
delmedical.com,"3946432","Del Medical Imaging Corp.","50B N. GARY AVENUE ","ROSELLE","IL","60172","United States","1(847)288-7000","","umgdel","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
suni.com,"4552815","Suni Medical Imaging Inc.","6840 Via Del Oro Suite 160","San Jose","CA","95119","United States","1(408)227-6698","michael@sureis.com","SuniImaging","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
alpha-imaging.com,"5364435","Alpha Imaging","4455 Glenbrook Road","Willoughby","OH","44094","United States","1(440)953-3800","mperrico@alpha-imaging.com","","100 - 250","$50 - 100M","No","","Medical Devices","Datanyze"
faxitron.com,"7270208","Faxitron Bioptics, LLC","3440 East Britannia Drive Suite 150","Tucson","AZ","85706","United States","1(520)399-8180","zDumkrieger@faxitron.com","faxitron","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
bloxr.com,"8335777","Bloxr","960 West Levoy Drive","Salt Lake City","UT","84123","United States","1(801)590-9880","info@bloxr.com","bloxr","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
qiimaging.com,"8663702","Qi Imaging, LLC","1235 Radio Road Suite 110","Redwood City","CA","94065","United States","1(650)413-1300","","","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
naimaging.com,"9002076","North American Imaging","777 Lena Dr","Aurora","OH","44202","United States","","rdoherty@partssource.com","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
technicalprospects.com,"9036892","Technical Prospects","1000 S. County Road CB","Appleton","WI","54914","United States","1(877)604-6583","rprobst@technicalprospects.com","techprospects","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
associatedxray.com,"9990487","Associated X-Ray Imaging Corp.","49 Newark Street","Haverhill","MA","01832","United States","1(978)374-6371","PASCUCCI@ASSOCIATEDXRAY.COM","","25 - 100","$1 - 10M","Yes","","Medical Devices","Datanyze"
rivannamedical.com,"10710733","Rivanna Medical","1304 Stonegate Ct","Crozet","VA","22932","United States","1(828)612-8191","GBrusa@RivannaMedical.com","RivannaMedical","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
pcx-ray.com,"1M+","P&C X-Ray Services and Supplies","","","","","United States","","","","0 - 25","$0 - 1M","Yes","","Medical Devices","Datanyze"
starkstrom.com,"1M+","Starkstrom","256 Field End Road Eastcote","Middlesex","","HA4 9UW","United Kingdom","","","","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
atlantisworldwide.com,"1M+","Atlantis Worldwide","61 Broadway Suite 1602","New York","NY","10006","United States","1(212)366-9100","marketing@atlantisworldwide.com","AtlantisLLC","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
digitalxrayus.com,"1M+","Digital X-ray Equipment Sales & Service","9420 Lazy Lane, Suite D-13","Tampa","FL","33614","United States","1(813)413-7889","","DigitalXrayE","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
letmedical.com,"1M+","Let Medical Systems","5755 NW 151ST STREET","MIAMI LAKES","FL","33014","United States","1(305)822-8999","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
phigemparts.com,"1M+","PhiGEM Parts","714 Atkins Ave","Brooklyn","NY","11208","United States","1(347)985-1679","DANNY@ADAMIMAGINGPARTS.COM","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
rsti-training.com,"1M+","Radiological Service Training Institute","30745 Solon Rd.","Solon","OH","44139","United States","1(800)229-7784","sales@rsti-training.com","rstitraining","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
