Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
resmed.com,31506,ResMed,9001 Spectrum Center Boulevard,San Diego,CA,92123,United States,1(858)836-5000,tim.mackey@resmed.com,resmed,1K - 10K,> $1B,Yes,Yes,Medical Devices,Datanyze
medtronic.com,31817,Medtronic,710 Medtronic Parkway,Minneapolis,MN,55432,United States,1(763)514-4000,thomas.martin@medtronic.com,Medtronic,50K - 100K,> $1B,Yes,Yes,Medical Devices,Datanyze
bd.com,41442,Becton Dickinson,1 Becton Drive,Franklin Lakes,NJ,7417,United States,1(201)847-6800,susana_nino-neira@bd.com,BDGlobalHealth,50K - 100K,> $1B,Yes,,Medical Devices,Datanyze
medline.com,50200,"Medline Industries, Inc.",One Medline Place,Mundelein,IL,60060,United States,1(847)949-5500,jodaniel@medline.com,Medline,50K - 100K,> $1B,No,,Medical Devices,Datanyze
henryschein.com,50768,"Henry Schein, Inc",135 Duryea Rd,Melville,NY,11747,United States,1(631)843-5500,LISA.COLLERAN@HENRYSCHEIN.COM,henryschein,50K - 100K,> $1B,Yes,,Medical Devices,Datanyze
philips.com.br,59237,Philips Latin America,,,,,United States,,,philipsbrasil,50K - 100K,> $1B,Yes,,Medical Devices,Datanyze
orthofeet.com,63472,Orthofeet Inc,152A VETERANS DR,NORTHVALE,NJ,7647,United States,1(201)767-6224,mb@orthofeet.com,OrthofeetTweet,25 - 100,$1 - 10M,No,,Medical Devices,Datanyze
dotmed.com,72136,"Dotmed.com, Inc.",29 Broadway Suite 2500,New York,NY,10006,United States,1(212)742-1200,,,25 - 100,$1 - 10M,No,,Medical Devices,Datanyze
mindray.com,75479,Mindray Medical International,Mindray Building Keji 12th Road South,Shenzhen,,,China,8.67553E+12,d.steensma@mindray.com,,1K - 10K,> $1B,Yes,,Medical Devices,Datanyze
coopervision.com,78451,CooperVision,370 Woodcliff Dr Suite 200,Fairport,NY,14450,United States,1(585)385-6810,sduane@coopervision.com,CooperVision,1K - 10K,> $1B,Yes,,Medical Devices,Datanyze
stryker.com,79779,Stryker,2825 Airview Boulevard,Kalamazoo,MI,49002,United States,1(269)385-2600,presscontact@stryker.com,StrykerEndo,50K - 100K,> $1B,Yes,,Medical Devices,Datanyze
draeger.com,94325,Draeger Medical Inc.,101 Technology Dr,Canonsburg,PA,15317,United States,1(215)723-9824,caltabianot@draeger.com,DraegerNews,50K - 100K,> $1B,Yes,,Medical Devices,Datanyze
invisalign.com,97253,"Align Technology, Inc.",Arlandaweg 161,Amsterdam,,1043 HS,Netherlands,,mflanagan@aligntech.com,,1K - 10K,$500M - 1B,Yes,,Medical Devices,Datanyze
bausch.com,98627,Bausch & Lomb,One Bausch & Lomb Place,Rochester,NY,14604,United States,1(585)338-6000,kelly.sutphen@bausch.com,BauschLomb,50K - 100K,,Yes,,Medical Devices,Datanyze
covidien.com,100004,Covidien,Cherrywood Business Park,Dublin,,,Ireland,35314393000,Carol.Gray@Covidien.com,,50K - 100K,> $1B,Yes,Yes,Medical Devices,Datanyze
transitions.com,100625,"Transitions Optical, Inc",9251 Belcher Road,Pinellas Park,FL,33782,United States,1(727)545-0400,,TransitionsOZNZ,1K - 10K,$500M - 1B,No,,Medical Devices,Datanyze
dexcom.com,105212,Dexcom,6340 Sequence Drive,San Diego,CA,92121,United States,1(888)738-3646,jlister@dexcom.com,,1K - 10K,$100 - 250M,Yes,Yes,Medical Devices,Datanyze
usst.edu.cn,106681,University of Shanghai for Science and Technology,516 Jungong Road.,Shanghai,,200093,China,,,,1K - 10K,$500M - 1B,,,Medical Devices,Datanyze
easybreathe.com,107226,"Easy Breathe, Inc.",11859 Wilshire Suite 602,Los Angeles,CA,90025,United States,,,easybreatheinc,25 - 100,$1 - 10M,No,,Medical Devices,Datanyze
bostonscientific.com,109293,Boston Scientific,One Boston Scientific Place,Natick,MA,1760,United States,1(508)650-8000,tarvesp@bsci.com,bostonsci,50K - 100K,> $1B,Yes,Yes,Medical Devices,Datanyze
essilor.com,119248,Essilor,"147, rue de Paris",Charenton-le-Pon,,94220,France,33149774224,,Essilor,50K - 100K,> $1B,Yes,,Medical Devices,Datanyze
shiga-med.ac.jp,124583,"Micron Shiga, Shiga University of Medical Science",,,,,Japan,,,,25 - 100,$1 - 10M,,,Medical Devices,Datanyze
1800wheelchair.com,125060,1-800 Wheelchair.com,185 Marcy Ave,New York,NY,11211,United States,1(718)302-1923,joseph@1800wheelchair.com,1800wheelchair,25 - 100,$1 - 10M,No,,Medical Devices,Datanyze
smith-nephew.com,126976,Smith & Nephew,15 Adam Street,London,WC2N,WC2N 6LA,United Kingdom,4.42074E+11,ralph.kelling@smith-nephew.com,smithnephewplc,50K - 100K,> $1B,Yes,Yes,Medical Devices,Datanyze
adlens.com,134785,"ADLENS USA, INC.",120 LEWIS WHARF,BOSTON,MA,2110,United States,,,Adlens_Ltd,100 - 250,$10 - 50M,No,,Medical Devices,Datanyze
